"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g2413.t1.CDS9",102.344211251205,-5.84357760916149,0.600260133057752,-9.73507532375012,2.13659345473738e-22,6.36063871475319e-19
"g2303.t1.CDS26",378.93418505974,-4.60832120068488,0.504556530793944,-9.13340908189903,6.63754896846197e-20,9.87999163955564e-17
"g1956.t1.CDS1",2127.91591718456,-4.18310812259954,0.469740318916133,-8.90515025887397,5.33137828448305e-19,5.29050438430201e-16
"g2592.t1.CDS1",97.8974429361281,-8.18395363509697,0.940500262318168,-8.70170266079986,3.26941287261612e-18,2.43326053044454e-15
"g2179.t1.CDS1",977.148917549082,-8.31319032941298,0.963688690798043,-8.62642719458369,6.32982643212114e-18,3.76877865768493e-15
"g1928.t1.CDS2",152.122008162008,-8.08159629260245,0.949338521234186,-8.51287092205633,1.69678923148954e-17,8.4189025702406e-15
"g549.t1.CDS7",145.955912801493,7.44900312730206,0.891240379373097,8.35801799346404,6.3780720171512e-17,2.71250291357988e-14
"g2019.t1.CDS1",212.180241025704,4.23221900140836,0.524581331528192,8.06780330721875,7.15742303534195e-16,2.36751648624589e-13
"g2369.t1.CDS1",177.453384649432,5.67717128334596,0.702912645420233,8.07663842774075,6.65765768584499e-16,2.36751648624589e-13
"g549.t1.CDS18",103.49929970068,6.72652360501202,0.835382064517584,8.05203258570849,8.14302184995425e-16,2.42417760473138e-13
"g2343.t1.CDS1",100.267318421539,4.81625269636316,0.599766781107327,8.03020915475027,9.73066332699985e-16,2.63347133858896e-13
"g2179.t1.CDS3",2584.00886199184,-6.85643319840502,0.865177657148444,-7.92488472368007,2.2835807598603e-15,5.66518326842009e-13
"g2923.t1.CDS10",86.9415673483444,5.28582804000869,0.67614877134905,7.81755179331676,5.38605707892585e-15,1.19261481087809e-12
"g3033.t1.CDS4",75.9894301744873,-7.4882864952638,0.958506378311614,-7.81245348461242,5.60853454897319e-15,1.19261481087809e-12
"g2394.t1.CDS1",216.115877541035,-3.59417255252057,0.462736720855936,-7.76720841577547,8.0234765225586e-15,1.59239264051046e-12
"g1956.t1.CDS3",127.59314061303,-3.42543473486476,0.44258647658609,-7.73958292012672,9.97434701124936e-15,1.85585194078058e-12
